X,Y,fid,pile_id,base_mode,notes,distance,angle,dsm_1
67928.2725239037,224204.264577885,23,P02,perimeter_tin,,5.5,118.20162821843,5.5841851234436
67928.4928464094,224204.146433933,24,P02,perimeter_tin,,5.75,118.20162821843,5.58412551879883
67928.7131689151,224204.028289981,25,P02,perimeter_tin,,6,118.20162821843,5.58569431304932
67928.9334914208,224203.910146028,26,P02,perimeter_tin,,6.25,118.20162821843,5.58434915542603
67929.1538139265,224203.792002076,27,P02,perimeter_tin,,6.5,118.20162821843,5.57421016693115
67929.3741364322,224203.673858124,28,P02,perimeter_tin,,6.75,118.20162821843,5.56303644180298
67929.594458938,224203.555714171,29,P02,perimeter_tin,,7,118.20162821843,5.56160020828247
67929.8032946009,224203.418351268,30,P02,perimeter_tin,,7.25,123.530469667308,5.55111265182495
67930.0116926475,224203.280256177,31,P02,perimeter_tin,,7.5,123.530469667308,5.5561990737915
67930.220090694,224203.142161086,32,P02,perimeter_tin,,7.75,123.530469667308,5.55806636810303
67930.4284887406,224203.004065995,33,P02,perimeter_tin,,8,123.530469667308,5.5468544960022
67930.6368867872,224202.865970904,34,P02,perimeter_tin,,8.25,123.530469667308,5.54921388626099
67930.8452848337,224202.727875813,35,P02,perimeter_tin,,8.5,123.530469667308,5.53664970397949
67931.0546840543,224202.591306188,36,P02,perimeter_tin,,8.75,123.023867555904,5.52907705307007
67931.2642949583,224202.4550591,37,P02,perimeter_tin,,9,123.023867555904,5.5259428024292
67931.4739058624,224202.318812012,38,P02,perimeter_tin,,9.25,123.023867555904,5.52518224716187
67931.6835167665,224202.182564925,39,P02,perimeter_tin,,9.5,123.023867555904,5.51616525650024
67931.8931276705,224202.046317837,40,P02,perimeter_tin,,9.75,123.023867555904,5.50055027008057
67932.1027385746,224201.910070749,41,P02,perimeter_tin,,10,123.023867555904,5.49294233322144
67932.3123494787,224201.773823662,42,P02,perimeter_tin,,10.25,123.023867555904,5.49619626998901
67932.5219603828,224201.637576574,43,P02,perimeter_tin,,10.5,123.023867555904,5.49468898773193
67932.7315712868,224201.501329486,44,P02,perimeter_tin,,10.75,123.023867555904,5.50685501098633
67932.9411821909,224201.365082399,45,P02,perimeter_tin,,11,123.023867555904,5.50724267959595
67933.150793095,224201.228835311,46,P02,perimeter_tin,,11.25,123.023867555904,5.51085329055786
67933.3578834533,224201.089611542,47,P02,perimeter_tin,,11.5,137.489552921879,5.50890970230103
67933.5268146104,224200.905323006,48,P02,perimeter_tin,,11.75,137.489552921879,5.50887393951416
67933.6957457676,224200.721034471,49,P02,perimeter_tin,,12,137.489552921879,5.52629852294922
67933.8646769247,224200.536745936,50,P02,perimeter_tin,,12.25,137.489552921879,5.53768253326416
67934.0336080819,224200.352457401,51,P02,perimeter_tin,,12.5,137.489552921879,5.55258369445801
67934.202539239,224200.168168866,52,P02,perimeter_tin,,12.75,137.489552921879,5.57247829437256
67934.3714703961,224199.983880331,53,P02,perimeter_tin,,13,137.489552921879,5.57983160018921
67934.5404015532,224199.799591796,54,P02,perimeter_tin,,13.25,137.489552921879,5.5846586227417
67934.7093327104,224199.615303261,55,P02,perimeter_tin,,13.5,137.489552921879,5.58519744873047
67934.8782638675,224199.431014726,56,P02,perimeter_tin,,13.75,137.489552921879,5.59499979019165
67935.0471950246,224199.246726191,57,P02,perimeter_tin,,14,137.489552921879,5.57381010055542
67935.2161261818,224199.062437656,58,P02,perimeter_tin,,14.25,137.489552921879,5.57797765731812
67935.3850573389,224198.878149121,59,P02,perimeter_tin,,14.5,137.489552921879,5.58817529678345
67935.553988496,224198.693860586,60,P02,perimeter_tin,,14.75,137.489552921879,5.60620069503784
67935.7229196531,224198.509572051,61,P02,perimeter_tin,,15,137.489552921879,5.6176381111145
67935.8918508103,224198.325283516,62,P02,perimeter_tin,,15.25,137.489552921879,5.62860012054443
67936.0607819674,224198.140994981,63,P02,perimeter_tin,,15.5,137.489552921879,5.6312427520752
67936.2297131245,224197.956706446,64,P02,perimeter_tin,,15.75,137.489552921879,5.62494802474976
67936.3986442817,224197.772417911,65,P02,perimeter_tin,,16,137.489552921879,5.64286851882935
67936.5675754388,224197.588129376,66,P02,perimeter_tin,,16.25,137.489552921879,5.63162517547607
67936.7365065959,224197.403840841,67,P02,perimeter_tin,,16.5,137.489552921879,5.64763736724854
67936.9054377531,224197.219552305,68,P02,perimeter_tin,,16.75,137.489552921879,5.64623260498047
67937.0743689102,224197.03526377,69,P02,perimeter_tin,,17,137.489552921879,5.65335130691528
67937.2433000673,224196.850975235,70,P02,perimeter_tin,,17.25,137.489552921879,5.64807367324829
67937.4122312244,224196.6666867,71,P02,perimeter_tin,,17.5,137.489552921879,5.66100406646729
67937.5811623816,224196.482398165,72,P02,perimeter_tin,,17.75,137.489552921879,5.65315437316895
67937.7500935387,224196.29810963,73,P02,perimeter_tin,,18,137.489552921879,5.64771842956543
67937.9190246958,224196.113821095,74,P02,perimeter_tin,,18.25,137.489552921879,5.64316558837891
67938.087955853,224195.92953256,75,P02,perimeter_tin,,18.5,137.489552921879,5.63958311080933
67938.2568870101,224195.745244025,76,P02,perimeter_tin,,18.75,137.489552921879,5.6392297744751
