fid,profile_id,section_id,orientation,notes,distance,angle
1,P02_LONG,C-C',longitudinal,Main ridge profile,27.8000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,27.9000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,28.0000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,28.1000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,28.2000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,28.3000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,28.4000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,28.5000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,28.6000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,28.7000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,28.8000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,28.9000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,29.0000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,29.1000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,29.2000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,29.3000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,29.4000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,29.5000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,29.6000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,29.7000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,29.8000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,29.9000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,30.0000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,30.1000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,30.2000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,30.3000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,30.4000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,30.5000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,30.6000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,30.7000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,30.8000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,30.9000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,31.0000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,31.1000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,31.2000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,31.3000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,31.4000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,31.5000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,31.6000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,31.7000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,31.8000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,31.9000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,32.0000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,32.1000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,32.2000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,32.3000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,32.4000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,32.5000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,32.6000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,32.7000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,32.8000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,32.9000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,33.0000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,33.1000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,33.2000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,33.3000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,33.4000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,33.5000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,33.6000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,33.7000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,33.8000000000002,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,33.9000000000002,212.351971855461
